drug_1,drug_2,relation_type,severity,mention_count,evidence_sentence
Aprepitant,rifampin,mechanism,High,2,"therefore, coadministration of Aprepitant with drugs that strongly induce CYP3A4 activity (e.g., rifampin, carbamazepine, phenytoin) may result in reduced plasma concentrations of aprepitant that may result in decreased efficacy of Aprepitant."
Rifampin,warfarin,mechanism,High,7,Withdrawal of rifampin decreased the warfarin requirement by 50%.
glimepiride,magnesium salicylate,advise,Moderate,1,"Before taking glimepiride, tell your doctor if you are taking any of the following medicines: - aspirin or another salicylate such as magnesium/choline salicylate (Trilisate), salsalate (Disalcid, others), choline salicylate (Arthropan), magnesium salicylate (Magan), or bismuth subsalicylate (Pepto-"
loop diuretics,beta-agonists,effect,Moderate,1,"The ECG changes and/or hypokalemia that may result from the administration of non-potassium sparing diuretics (such as loop or thiazide diuretics) can be acutely worsened by beta-agonists, especially when the recommended dose of the beta-agonist is exceeded."
phenytoin,trazodone,mechanism,High,1,"The most commonly occurring drug interactions are listed below: - Drugs that may increase plasma phenytoin concentrations include: acute alcohol intake, amiodarone, chboramphenicol, chlordiazepoxide, cimetidine, diazepam, dicumarol, disulfiram, estrogens, ethosuximide, fluoxetine, H2-antagonists, ha"
carbamazepine,felbamate,mechanism,High,1,"The carbamazepine steady-state Cmin decreased 31% to 5 1 micrograms/mL when felbamate (3000 mg/day, divided into three doses) was coadministered."
phenytoin,phenobarbital,mechanism,High,2,"- Drugs that may either increase or decrease plasma phenytoin concentrations include: phenobarbital, vaiproic acid, and sodium valproate."
para-aminosalicylic acid,vitamin B12,mechanism,High,1,Colchicine para-aminosalicylic acid and heavy alcohol intake for longer than 2 weeks may produce malabsorption of vitamin B12.
TNFa-blocking agents,anakinra,effect,Moderate,1,Other TNFa-blocking agents (including REMICADE) used in combination with anakinra may also result in similar toxicities.
ETOPOPHOS,levamisole hydrochloride,advise,Moderate,1,"Caution should be exercised when administering ETOPOPHOS with drugs that are known to inhibit phosphatase activities (e.g., levamisole hydrochloride)."
beta blocker,clonidine,advise,Moderate,1,"If the two drugs are coadministered, the beta blocker should be withdrawn several days before the gradual withdrawal of clonidine."
acetylsalicylic acid,Activase,int,Low,1,"In addition to bleeding associated with heparin and vitamin K antagonists, drugs that alter platelet function (such as acetylsalicylic acid, dipyridamole and Abciximab) may increase the risk of bleeding if administered prior to, during, or after Activase therapy."
carbamazepine,aripiprazole,mechanism,High,4,"Carbamazepine: Coadministration of carbamazepine (200 mg BID), a potent CYP3A4 inducer, with aripiprazole (30 mg QD) resulted in an approximate 70% decrease in Cmax and AUC values of both aripiprazole and its active metabolite, dehydro-aripiprazole."
methotrexate,etretinate,effect,Moderate,1,Methotrexate: An increased risk of hepatitis has been reported to result from combined use of methotrexate and etretinate.
epinephrine,monoamine oxidase inhibitors,effect,Moderate,3,"The administration of local anesthetic solutions containing epinephrine or norepinephrine to patients receiving monoamine oxidase inhibitors, tricyclic antidepressants or phenothiazines may produce severe, prolonged hypotension or hypertension."
SPRYCEL,antacids,advise,Moderate,1,Simultaneous administration of SPRYCEL with antacids should be avoided.
Amphetamines,antihypertensives,effect,Moderate,3,Amphetamines may decrease the hypotensive effect of antihypertensives.
Probenecid,barbiturates,mechanism,High,1,"Probenecid : Probenecid is known to interact with the metabolism or renal tubular excretion of many drugs (e.g., acetaminophen, acyclovir, angiotensin-converting enzyme inhibitors, aminosalicylic acid, barbiturates, benzodiazepines, bumetanide, clofibrate, methotrexate, famotidine, furosemide, nonst"
Etonogestrel,MS Contin,int,Low,1,"Etonogestrel may interact with the following medications: acetaminophen (Tylenol), antibiotics such as ampicillin and tetracycline, anticonvulsants (Dilantin, Phenobarbital, Tegretol, Trileptal, Topamax, Felbatol), antifungals (Gris-PEG, Nizoral, Sporanox), atorvastatin (Lipitor), clofibrate (Atromi"
NSAIDs,ACE inhibitors,advise,Moderate,9,This interaction should be given consideration in patients taking NSAIDs concomitantly with ACE inhibitors.
atracurium,gentamycin,effect,Moderate,5,Recovery of hoof twitch from 50% to 75% took 7.7 +/- 0.7 min for atracurium alone and 11.5 +/- 2.7 min for atracurium plus gentamycin (P = 0.03).
FORADIL,tricyclic antidepressants,advise,Moderate,1,Monoamine Oxidase Inhibitors and Tricyclic Antidepressants: FORADIL should be administered with extreme caution in patients being treated with monoamine oxidase inhibitors or tricyclic antidepressants because the action of formoterol on the cardiovascular system may be potentiated by these agents.
ENABLEX,ritonavir,advise,Moderate,1,"The daily dose of ENABLEX should not exceed 7.5 mg when coadministered with potent CYP3A4 inhibitors (e.g., ketoconazole, itraconazole, ritonavir, nelfinavir, clarithromycin and nefazadone) ."
Targretin,gemfibrozil,advise,Moderate,2,Concomitant administration of gemfibrozil with Targretin capsules is not recommended.
Butalbital,anesthetics,effect,Moderate,1,"Butalbital, acetaminophen and caffeine may enhance the effects of: other narcotic analgesics, alcohol, general anesthetics, tranquilizers such as chlordiazepoxide, sedative-hypnotics, or other CNS depressants, causing increased CNS depression."
flurbiprofen,aspirin,mechanism,High,2,Aspirin: Concurrent administration of aspirin and flurbiprofen resulted in 50% lower serum flurbiprofen concentrations.
non-selective beta-adrenergic-blocking agents,Starlix,effect,Moderate,1,"Certain drugs, including nonsteroidal anti-inflammatory agents (NSAIDs), salicylates, monoamine oxidase inhibitors, and non-selective beta-adrenergic-blocking agents may potentiate the hypoglycemic action of Starlix and other oral antidiabetic drugs."
diclofenac,tolbutamide,mechanism,High,1,"Protein Binding In vitro, diclofenac interferes minimally or not at all with the protein binding of salicylic acid (20% decrease in binding), tolbutamide, prednisolone (10% decrease in binding), or warfarin."
flurbiprofen,anticoagulants,advise,Moderate,1,The physician should be cautious when administering flurbiprofen to patients taking anticoagulants.
phenytoin,ethinyl estradiol,mechanism,High,1,"Anticonvulsants (carbamazepine, felbamate, phenobarbital, phenytoin, topiramate): Increase the metabolism of ethinyl estradiol and/or some progestins, leading to possible decrease in contraceptive effectiveness."
cypermethrin,Vitamin E,effect,Moderate,3,"Pretreatment of rats with allopurinol (100 mg/kg, ip) or Vitamin E (100 mg/kg per day, ig, for 3 days and a dose of 40 mg/kg on the 4th day) provided significant protection against the elevation of TBARS levels in cerebral and hepatic tissues, induced by single high dose of oral cypermethrin adminis"
aspirin,ketoprofen,mechanism,High,3,"however, in a study of 12 normal subjects, concurrent administration of aspirin decreased ketoprofen protein binding and increased ketoprofen plasma clearance from 0.07 L/kg/h without aspirin to 0.11 L/kg/h with aspirin."
methylprednisolone,Aprepitant,advise,Moderate,3,"Aprepitant, when given as a regimen of 125 mg on Day 1 and 80 mg/day on Days 2 and 3, increased the AUC of methylprednisolone, a CYP3A4 substrate, by 1.34-fold on Day 1 and by 2.5-fold on Day 3, when methylprednisolone was coadministered intravenously as 125 mg on Day 1 and orally as 40 mg on Days 2"
heroin,diazepam,effect,Moderate,1,"Toxicology studies of heroin-related deaths reveal frequent involvement of other central nervous system depressants, including alcohol, benzodiazepines such as diazepam (Valium), and, to a rising degree, methadone."
phenytoin,anticoagulants,mechanism,High,2,"Because oral anticoagulants may interfere with the hepatic metabolism of phenytoin, toxic levels of the anticonvulsant may occur when an oral anticoagulant and phenytoin are administered concurrently."
Lithium,diuretics,advise,Moderate,6,Lithium generally should not be given with diuretics because they reduce its renal clearance and add a high risk of lithium toxicity.
antihistamines,CNS depressant drugs,advise,Moderate,1,Patients receiving antihistamines should be advised against the concurrent use of other CNS depressant drugs.
erythromycin,carbamazepine,int,Low,2,"Other drugs Drug interactions have been reported with concomitant administration of erythromycin and other medications, including cyclosporine, hexobarbital, carbamazepine, alfentanil, disopyramide, phenytoin, bromocriptine, valproate, astemizole, and lovastatin."
antihypertensive medications,vasodilators,effect,Moderate,1,"Antihypertensive Medications and Vasodilators: The following adverse events were experienced more commonly in patients receiving concomitant antihypertensive medications or vasodilators (n = 94) compared to patients not receiving these concomitant drugs (n = 456): hypotension 10% vs 4%, myocardial i"
METH,SCH-23390,effect,Moderate,1,"Using in situ hybridization, we observed that METH caused a rapid and transient dose-dependent increase in arc mRNA level in the striatum and cortex that was abolished by pretreatment with the specific dopamine D1 receptor antagonist SCH-23390 but not by an atypical neuroleptic clozapine."
MYOBLOC,curare-like compounds,advise,Moderate,1,"Co-administration of MYOBLOC and aminoglycosides or other agents interfering with neuromuscular transmission (e.g., curare-like compounds) should only be performed with caution as the effect of the toxin may be potentiated."
methotrexate,L-glutamine,effect,Moderate,2,Methotrexate - There is one report that methotrexate may decrease the possible effectiveness of supplemental L-glutamine for chemotherapy-induced mucositis.
antiarrhythmics,CRIXIVAN,advise,Moderate,1,Caution is warranted and therapeutic concentration monitoring is recommended for antiarrhythmics when coadministered with CRIXIVAN.
rifampin,caspofungin,mechanism,High,1,A drug-drug interaction study with rifampin in healthy volunteers has shown a 30% decrease in caspofungin trough concentrations.
Bezalip,anticoagulants of the coumarin type,effect,Moderate,1,When Bezalip or Bezalip retard is used at the same time as other medicines or substances the following interactions must be taken into account: - Bezalip and Bezalip retard may enhance the action of anticoagulants of the coumarin type.
nitroglycerin,captopril,advise,Moderate,1,"therefore, nitroglycerin or other nitrates (as used for management of angina) or other drugs having vasodilator activity should, if possible, be discontinued before starting captopril."
ibogaine,cocaine,effect,Moderate,1,only ibogaine enhances cocaine-induced increases in accumbal dopamine.
triazolam,Aprepitant,advise,Moderate,1,"The potential effects of increased plasma concentrations of midazolam or other benzodiazepines metabolized via CYP3A4 (alprazolam, triazolam) should be considered when coadministering these agents with Aprepitant."
Histamine H2 antagonists,Cimetidine,mechanism,High,1,Histamine H2 antagonists: Cimetidine inhibits CYP3A4 and can increase serum amiodarone levels.
Cimetidine,altretamine,mechanism,High,1,"Concurrent administration of HEXALEN and antidepressants of the MAO inhibitor class may cause severe orthostatic hypotension.Cimetidine, an inhibitor of microsomal drug metabolism, increased altretamines half-life and toxicity in a rat model."
Bile acid binding resins,hydrocortisone,mechanism,High,1,Bile acid binding resins may also interfere with the absorption of oral phosphate supplements and hydrocortisone.
Vardenafil,terazosin,effect,Moderate,4,"With simultaneous dosing of Vardenafil 20 mg and terazosin 10 mg, 2 of 9 subjects experienced a standing systolic blood pressure of less than 85 mm Hg."
Ibandronate,antacids,advise,Moderate,1,"Ibandronate should be taken at least 60 minutes before any oral medications containing multivalent cations (including antacids, supplements or vitamins)."
Theophylline,acetaminophen,mechanism,High,3,"Acetaminophen diminished the binding of theophylline to human serum by a net change of 5.7% (percentage increase in free drug fraction [FDF], 11.0%) at 662 micromol/L and by a net change of 7.1% (percentage increase in FDF, 13.7%) at 1324 micromol/L."
benzodiazepines,anticonvulsants,effect,Moderate,2,"The action of the benzodiazepines may be potentiated by anticonvulsants, antihistamines, alcohol, barbiturates, monoamine oxidase inhibitors, narcotics, phenothiazines, psychotropic medications, or other drugs that produce CNS depression."
dexamethasone,insulin,effect,Moderate,3,Dexamethasone and retinyl acetate similarly inhibit and stimulate EGF- or insulin-induced proliferation of prostatic epithelium.
"1,25(OH)2D3",TAM,effect,Moderate,2,"Our data suggest that TAM significantly potentiates the reduction in cell number induced by 1,25(OH)2D3 alone."
Cholestyramine,tetracycline,mechanism,High,1,"Cholestyramine resin may delay or reduce the absorption of concomitant oral medication such as phenylbutazone, warfarin, thiazide diuretics (acidic) or propranolol (basic), as well as tetracycline penicillin G, phenobarbital, thyroid and thyroxine preparations, estrogens and progestins, and digitali"
Etonogestrel,Nizoral,int,Low,1,"Etonogestrel may interact with the following medications: acetaminophen (Tylenol), antibiotics such as ampicillin and tetracycline, anticonvulsants (Dilantin, Phenobarbital, Tegretol, Trileptal, Topamax, Felbatol), antifungals (Gris-PEG, Nizoral, Sporanox), atorvastatin (Lipitor), clofibrate (Atromi"
estazolam,carbamazepine,mechanism,High,1,"While no in vivo drug-drug interaction studies were conducted between estazolam and inducers of CYP3A, compounds that are potent CYP3A inducers (such as carbamazepine, phenytoin, rifampin, and barbiturates) would be expected to decrease estazolam concentrations."
N-methyllevallorphan,morphine,effect,Moderate,1,"N-methyllevallorphan (5 mg/kg, s.c.) completely antagonized the inhibitory effect of loperamide and partly antagonized the effect of morphine."
anticholinergic,antiarrhythmics,effect,Moderate,1,"Drug Interactions: The central anticholinergic syndrome can occur when anticholinergic agents such as AKINETON are administered concomitantly with drugs that have secondary anticholinergic actions, e.g., certain narcotic analgesics such as meperidine, the phenothiazines and other antipsychotics, tri"
dexamethasone,EGF,effect,Moderate,5,Dexamethasone and retinyl acetate similarly inhibit and stimulate EGF- or insulin-induced proliferation of prostatic epithelium.
INDOCIN,triamterene,effect,Moderate,2,It has been reported that the addition of triamterene to a maintenance schedule of INDOCIN resulted in reversible acute renal failure in two of four healthy volunteers.
non- steroidal antiinflammatory agent,loop diuretics,effect,Moderate,1,"In some patients, the administration of a non- steroidal antiinflammatory agent can reduce the diuretic, natriuretic, and antihypertensive effects of loop, potassium- sparing and thiazide diuretics."
lithium,chlorothiazide,advise,Moderate,1,Refer to the package insert for lithium preparations before use of such preparations with chlorothiazide
ZYVOX,serotonergic agents,effect,Moderate,3,"Spontaneous reports of serotonin syndrome associated with co-administration of ZYVOX and serotonergic agents, including antidepressants such as selective serotonin reuptake inhibitors (SSRIs), have been reported."
cyclophosphamide,phenobarbital,mechanism,High,1,The rate of metabolism and the leukopenic activity of cyclophosphamide reportedly are increased by chronic administration of high doses of phenobarbital.
Anagrelide,theophylline,mechanism,High,1,Anagrelide demonstrates some limited inhibitory activity towards CYP1A2 which may present a theoretical potential for interaction with other coadministered medicinal products sharing that clearance mechanism e.g. theophylline.
barbiturates,chlorpropamide,effect,Moderate,1,"Since animal studies suggest that the action of barbiturates may be prolonged by therapy with chlorpropamide, barbiturates should be employed with caution."
diflunisal,hydrochlorothiazide,effect,Moderate,2,Diflunisal decreased the hyperuricemic effect of hydrochlorothiazide.
tricyclic antidepressants,cimetidine,mechanism,High,13,"plasma levels of several closely related tricyclic antidepressants have been reported to be increased by the concomitant administration of methylphenidate or hepatic enzyme inhibitors (e.g., cimetidine, fluoxetine) and decreased by the concomitant administration of hepatic enzyme inducers (e.g., bar"
multivalent cations,alendronate,mechanism,High,1,Products containing calcium and other multivalent cations likely will interfere with absorption of alendronate.
opioids,INAPSINE,effect,Moderate,1,"Other CNS depressant drugs (e.g. barbiturates, tranquilizers, opioids and general anesthetics) have additive or potentiating effects with INAPSINE."
anticoagulant,tolbutamide,effect,Moderate,1,"Drugs that reportedly may increase oral anticoagulant response, ie, increased prothrombin response, in man include:alcohol*;allopurinol;aminosalicylic acid;amiodarone;anabolic steroids;antibiotics;bromelains;chloral hydrate*;chlorpropamide;chymotrypsin;cimetidine;cinchophen;clofibrate;dextran;dextro"
etodolac,phenylbutazone,mechanism,High,2,Phenylbutazone: Phenylbutazone causes increase (by about 80%) in the free fraction of etodolac.
antidepressants,fluoxetine hydrochloride,mechanism,High,1,"There have been greater than 2-fold increases in previously stable plasma levels of other antidepressants, including nortriptyline, when fluoxetine hydrochloride has been administered in combination with these agents."
benzodiazepines,nicardipine,int,Low,1,"Data from in vitro studies of benzodiazepines other than alprazolam suggest a possible drug interaction for the following: ergotamine, cyclosporine, amiodarone, nicardipine, and nifedipine."
carbamazepine,saquinavir,mechanism,High,2,"Coadministration with compounds that are potent inducers of CYP3A4 (eg, phenobarbital, phenytoin, dexamethasone, carbamazepine) may result in decreased plasma levels of saquinavir."
guanethidine,amphetamines,mechanism,High,1,"Acidifying agents: Gastrointestinal acidifying agents (guanethidine, reserpine, glutamic acid HCl, ascorbic acid, fruit juices, etc.) lower absorption of amphetamines."
Etonogestrel,Tegretol,int,Low,1,"Etonogestrel may interact with the following medications: acetaminophen (Tylenol), antibiotics such as ampicillin and tetracycline, anticonvulsants (Dilantin, Phenobarbital, Tegretol, Trileptal, Topamax, Felbatol), antifungals (Gris-PEG, Nizoral, Sporanox), atorvastatin (Lipitor), clofibrate (Atromi"
Angiomax,warfarin,effect,Moderate,1,"In clinical trials in patients undergoing PTCA/PCI, co-administration of Angiomax with heparin, warfarin, thrombolytics or glycoprotein IIb/IIIa inhibitors was associated with increased risks of major bleeding events compared to patients not receiving these concomitant medications."
anastrozole,tamoxifen,advise,Moderate,2,"Based on clinical and pharmacokinetic results from the ATAC trial, tamoxifen should not be administered with anastrozole (see CLINICAL PHARMACOLOGY   Drug Interactions and CLINICAL PHARMACOLOGY - Clinical Studies - Adjuvant Treatment of Breast Cancer in Postmenopausal Women subsections)."
nondepolarizing agents,colistin,effect,Moderate,2,"Other drugs which may enhance the neuromuscular blocking action of nondepolarizing agents such as NIMBEX include certain antibiotics (e. g., aminoglycosides, tetracyclines, bacitracin, polymyxins, lincomycin, clindamycin, colistin, and sodium colistemethate), magnesium salts, lithium, local anesthet"
TARCEVA,rifampicin,advise,Moderate,1,"If the TARCEVA dose is adjusted upward, the dose will need to be reduced upon discontinuation of rifampicin or other inducers."
HMG-CoA reductase inhibitors,immunosuppressive drugs,effect,Moderate,1,Rhabdomyolysis has been observed in patients receiving HMG-CoA reductase inhibitors administered alone (at recommended dosages) or concomitantly with immunosuppressive drugs including cyclosporine.
theophylline,PEGASYS,mechanism,High,2,Treatment with PEGASYS once weekly for 4 weeks in healthy subjects was associated with an inhibition of P450 1A2 and a 25% increase in theophylline AUC.
colestipol,vitamin K,mechanism,High,1,Colestipol-Concomitant intake of colestipol and vitamin K may reduce the absorption of vitamin K.
thiazide diuretics,dihydrotachysterol,effect,Moderate,1,Administration of thiazide diuretics to hypoparathyroid patients who are concurrently being treated with dihydrotachysterol may cause hypercalcemia.
cephalexin,probenecid,mechanism,High,1,"Probenecid: As with other b-lactams, the renal excretion of cephalexin is inhibited by probenecid."
TARCEVA,ritonavir,advise,Moderate,1,"Caution should be used when administering or taking TARCEVA with ketoconazole and other strong CYP3A4 inhibitors such as, but not limited to, atazanavir, clarithromycin, indinavir, itraconazole, nefazodone, nelfinavir, ritonavir, saquinavir, telithromycin, troleandomycin (TAO), and voriconazole ."
STRATTERA,fluoxetine,advise,Moderate,1,"Dosage adjustment of STRATTERA may be necessary when coadministered with CYP2D6 inhibitors, e.g., paroxetine, fluoxetine, and quinidine."
Tagamet,phenytoin,mechanism,High,1,"Tagamet, apparently through an effect on certain microsomal enzyme systems, has been reported to reduce the hepatic metabolism of warfarin-type anticoagulants, phenytoin, propranolol, nifedipine, chlordiazepoxide, diazepam, certain tricyclic antidepressants, lidocaine, theophylline and metronidazole"
azithromycin,efavirenz,mechanism,High,2,Co-administration with efavirenz or fluconazole had a modest effect on the pharmacokinetics of azithromycin.
Antizol,ketoconazole,mechanism,High,1,"Reciprocal interactions may occur with concomitant use of Antizol and drugs that increase or inhibit the cytochrome P450 system (e.g., phenytoin, carbamazepine, cimetidine, ketoconazole), though this has not been studied"
levobupivacaine,phenytoin,mechanism,High,1,"Although no clinical studies have been conducted, it is likely that the metabolism of levobupivacaine may be affected by the known CYP3A4 inducers (such as phenytoin, phenobarbital, rifampin), CYP3A4 inhibitors (azole antimycotics e.g., ketoconazole;"
haloperidol,dopamine,effect,Moderate,1,Butyrophenones (such as haloperidol) and phenothiazines can suppress the dopaminergic renal and mesenteric vasodilation induced with low dose dopamine infusion.
benzodiazepines,MAO inhibitors,effect,Moderate,1,"Injection: Lorazepam injection, like other injectable benzodiazepines, produces depression of the central nervous system when administered with ethyl alcohol, phenothiazines, barbiturates, MAO inhibitors, and other antidepressants.When scopolamine is used concomitantly with injectable lorazepam, an "
indinavir,VIDEX,advise,Moderate,2,"To avoid this interaction, delavirdine or indinavir should be given 1 hour prior to dosing with VIDEX."
macrolide antibiotics,TIKOSYN,advise,Moderate,1,"Inhibitors of this isoenzyme (e.g., macrolide antibiotics, azole antifungal agents, protease inhibitors, serotonin reuptake inhibitors, amiodarone, cannabinoids, diltiazem, grapefruit juice, nefazadone, norfloxacin, quinine, zafirlukast) should be cautiously coadministered with TIKOSYN as they can p"
Argatroban,anticoagulants,effect,Moderate,1,"Co-administration: Concomitant use of Argatroban with antiplatelet agents, thrombolytics, and other anticoagulants may increase the risk of bleeding."
anticoagulant,diflunisal,effect,Moderate,1,"Drugs that reportedly may increase oral anticoagulant response, ie, increased prothrombin response, in man include:alcohol*;allopurinol;aminosalicylic acid;amiodarone;anabolic steroids;antibiotics;bromelains;chloral hydrate*;chlorpropamide;chymotrypsin;cimetidine;cinchophen;clofibrate;dextran;dextro"
captopril,diuretic,effect,Moderate,1,"The possibility of hypotensive effects with captopril can be minimized by either discontinuing the diuretic or increasing the salt intake approximately one week prior to initiation of treatment with captopril (captopril tablets, USP) or initiating therapy with small doses (6.25 or 12.5 mg)."
ALLEGRA,aluminum,advise,Moderate,1,ALLEGRA should not be taken closely in time with aluminum and magnesium containing antacids.
PLETAL,omeprazole,advise,Moderate,1,"Since PLETAL is extensively metabolized by cytochrome P-450 isoenzymes, caution should be exercised when PLETAL is coadministered with inhibitors of C.P.A. such as ketoconazole and erythromycin or inhibitors of CYP2C19 such as omeprazole."
EQUETROTM,Phenytoin,mechanism,High,3,"Agents with Increased Levels in the Presence of Carbamazepine: EQUETROTM increases the plasma levels of the following agents: Clomipramine HCl, Phenytoin(6), and primidone Thus, if a patient has been titrated to a stable dosage on one of the agents in this category, and then begins a course of the t"
timolol,guanfacine,effect,Moderate,1,"Noncardioselective beta-blockers (nadolol,porpranolol,timolol) may exacerbate rebound hypertension when guanfacine is withdrawn."
anticoagulant,nalidixic acid,effect,Moderate,1,"Drugs that reportedly may increase oral anticoagulant response, ie, increased prothrombin response, in man include:alcohol*;allopurinol;aminosalicylic acid;amiodarone;anabolic steroids;antibiotics;bromelains;chloral hydrate*;chlorpropamide;chymotrypsin;cimetidine;cinchophen;clofibrate;dextran;dextro"
valproic acid,ethosuximide,mechanism,High,1,"Since Zarontin (ethosuximide) may interact with concurrently administered antiepileptic drugs, periodic serum level determinations of these drugs may be necessary (eg, ethosuximide may elevate phenytoin serum levels and valproic acid has been reported to both increase and decrease ethosuximide level"
antacids,anticholinergic agents,mechanism,High,2,"Because antacids may interfere with the absorption of anticholinergic agents, simultaneous use of these drugs should be avoided."
Phenobarbital,aspirin,mechanism,High,1,Phenobarbital: Decreases aspirin effectiveness by enzyme induction.
